1,17
2,16
3,2
4,25
5,25
6,25
7,17
8,17
9,17
10,25
11,17
12,11
13,17
14,17
15,17
16,17
17,25
18,18
19,25
20,17
21,17
22,17
23,17
24,17
25,17
26,2
27,17
28,17
29,17
30,2
31,17
32,17
33,17
34,17
35,11
36,11
37,11
38,25
39,17
40,17
41,25
42,17
43,25
44,25
45,17
46,25
47,17
48,17
49,25
50,25
51,17
52,17
53,2
54,2
55,2
56,2
57,17
58,2
59,10
60,2
61,2
62,2
63,18
64,18
65,17
66,17
67,2
68,2
69,25
70,18
71,10
72,10
73,11
74,17
75,18
76,18
77,18
78,18
79,2
80,2
81,18
82,10
83,16
84,17
85,17
86,17
87,18
88,18
89,18
90,18
91,17
92,17
93,25
94,10
95,10
96,25
97,2
98,2
99,24
